phase,Average cell at temperature,|$\vec{a}$| [$\text{\AA}$],|$\vec{b}$| [$\text{\AA}$],|$\vec{c}$| [$\text{\AA}$],$\alpha$ [$^\circ$],$\beta$ [$^\circ$],$\gamma$ [$^\circ$],Volume pfu [$\text{\AA}^3$]
$\gamma$,0,12.32,12.32,12.5,90.0,90.0,86.7,237.0
$\gamma$,150,12.56,12.4,12.4,87.84,89.98,90.01,241.0
$\gamma$,187,12.61,12.41,12.4,88.01,90.06,90.02,242.0
$\gamma$,234,12.45,12.62,12.43,89.95,91.28,89.99,244.0
$\gamma$,293,12.62,12.46,12.51,90.56,89.99,89.73,246.0
$\gamma$,350,12.65,12.52,12.53,90.26,90.14,90.05,248.0
$\gamma$,419,12.6,12.57,12.64,89.89,90.1,90.13,250.0
$\gamma$,501,12.61,12.65,12.68,90.11,89.98,90.02,253.0
$\gamma$,600,12.68,12.67,12.73,90.01,90.03,90.03,256.0
$\delta_\text{Cs}$,0,17.8,10.39,9.59,90.0,90.0,90.0,221.0
$\delta_\text{Cs}$,150,17.91,10.47,9.63,89.98,90.05,89.99,226.0
$\delta_\text{Cs}$,187,17.94,10.5,9.64,90.02,90.02,89.99,227.0
$\delta_\text{Cs}$,234,17.98,10.52,9.65,89.98,90.04,89.98,228.0
$\delta_\text{Cs}$,293,18.03,10.56,9.67,90.0,90.04,89.97,230.0
$\delta_\text{Cs}$,350,18.08,10.59,9.7,89.98,90.03,89.9,232.0
$\delta_\text{Cs}$,419,18.15,10.63,9.72,89.98,90.04,89.96,234.0
$\delta_\text{Cs}$,501,18.24,10.68,9.76,89.96,89.99,89.92,237.0
$\delta_\text{Cs}$,600,18.36,10.73,9.81,89.96,90.05,89.96,241.0
$\delta_\text{FA}$,0,16.01,13.91,8.43,90.0,90.0,90.0,235.0
$\delta_\text{FA}$,150,15.89,14.23,8.48,89.96,89.88,89.97,240.0
$\delta_\text{FA}$,187,15.85,14.34,8.49,89.98,90.01,89.96,241.0
$\delta_\text{FA}$,234,15.83,14.43,8.5,90.01,89.58,90.13,243.0
$\delta_\text{FA}$,293,15.81,14.57,8.51,90.06,89.65,90.86,245.0
$\delta_\text{FA}$,350,15.75,14.76,8.51,90.03,89.66,90.84,247.0
$\delta_\text{FA}$,419,15.78,14.86,8.53,89.94,89.03,91.51,250.0
$\delta_\text{FA}$,501,15.82,14.96,8.56,89.88,89.14,90.7,253.0
$\delta_\text{FA}$,600,15.91,15.07,8.6,89.68,89.75,90.51,258.0
