phase,Average cell at temperature,|$\vec{a}$| [$\text{\AA}$],|$\vec{b}$| [$\text{\AA}$],|$\vec{c}$| [$\text{\AA}$],$\alpha$ [$^\circ$],$\beta$ [$^\circ$],$\gamma$ [$^\circ$],Volume pfu [$\text{\AA}^3$]
$\gamma$,0,12.59,12.76,12.59,90.0,92.8,90.0,253.0
$\gamma$,150,12.62,12.67,12.77,90.09,90.32,90.16,255.0
$\gamma$,187,12.73,12.72,12.77,89.43,89.7,89.62,258.0
$\gamma$,234,12.8,12.72,12.7,90.17,90.27,89.94,258.0
$\gamma$,293,12.78,12.81,12.79,90.24,90.41,89.96,262.0
$\gamma$,350,12.81,12.86,12.81,89.99,90.09,89.77,264.0
$\gamma$,419,12.85,12.89,12.85,89.83,89.66,89.73,266.0
$\gamma$,501,12.9,12.92,12.87,89.74,89.94,89.92,268.0
$\gamma$,600,12.95,12.98,12.94,89.96,89.95,89.8,272.0
$\delta_\text{Cs}$,0,19.05,11.7,9.08,90.0,87.84,90.0,253.0
$\delta_\text{Cs}$,150,19.49,11.55,9.21,91.14,89.2,90.0,259.0
$\delta_\text{Cs}$,187,19.5,11.71,9.14,89.23,90.55,89.75,261.0
$\delta_\text{Cs}$,234,19.55,11.74,9.16,88.92,89.63,91.61,263.0
$\delta_\text{Cs}$,293,19.7,11.73,9.17,89.99,90.36,91.09,265.0
$\delta_\text{Cs}$,350,19.77,11.67,9.24,90.68,89.81,89.55,267.0
$\delta_\text{Cs}$,419,19.77,11.74,9.27,88.77,90.23,89.64,269.0
$\delta_\text{Cs}$,501,19.88,11.74,9.35,89.51,90.12,89.94,273.0
$\delta_\text{Cs}$,600,19.91,11.85,9.36,90.07,90.22,89.44,276.0
$\delta_\text{FA}$,0,15.69,15.1,8.46,90.0,90.0,90.0,251.0
$\delta_\text{FA}$,150,15.75,15.34,8.59,89.48,90.41,92.5,259.0
$\delta_\text{FA}$,187,15.88,15.11,8.62,89.85,89.54,90.27,258.0
$\delta_\text{FA}$,234,15.82,15.17,8.73,90.1,91.72,88.67,262.0
$\delta_\text{FA}$,293,15.88,15.2,8.73,90.03,91.55,90.77,263.0
$\delta_\text{FA}$,350,15.95,15.31,8.71,89.96,90.96,90.83,266.0
$\delta_\text{FA}$,419,15.93,15.45,8.77,89.69,91.24,91.46,270.0
$\delta_\text{FA}$,501,16.01,15.46,8.83,89.82,90.76,90.13,273.0
$\delta_\text{FA}$,600,16.06,15.66,8.91,89.9,89.64,90.5,280.0
